Date,Open,High,Low,Close,Volume,Adj Close
2013-09-11,9784.00,9808.00,9712.00,9776.00,3100,1797.53
2013-09-10,9656.00,9784.00,9656.00,9784.00,3900,1799.00
2013-09-09,9600.00,9640.00,9560.00,9632.00,2700,1771.06
2013-09-06,9600.00,9600.00,9504.00,9600.00,2400,1765.17
2013-09-05,9400.00,9576.00,9400.00,9576.00,4400,1760.76
2013-09-04,9384.00,9464.00,9352.00,9360.00,2500,1721.04
2013-09-03,9264.00,9320.00,9176.00,9320.00,2000,1713.69
2013-09-02,9200.00,9224.00,9136.00,9216.00,900,1694.56
2013-08-30,9120.00,9232.00,9032.00,9096.00,10600,1672.50
2013-08-29,9160.00,9240.00,9128.00,9128.00,2700,1678.38
2013-08-28,9104.00,9200.00,9096.00,9144.00,2900,1681.33
2013-08-27,9296.00,9328.00,9152.00,9208.00,4500,1693.09
2013-08-26,9288.00,9352.00,9264.00,9312.00,2800,1712.22
2013-08-23,9424.00,9440.00,9296.00,9296.00,3300,1709.27
2013-08-22,9360.00,9416.00,9312.00,9400.00,4300,1728.40
2013-08-21,9400.00,9440.00,9352.00,9360.00,3400,1721.04
2013-08-20,9440.00,9472.00,9272.00,9400.00,4300,1728.40
2013-08-19,9272.00,9504.00,9272.00,9504.00,10300,1747.52
2013-08-16,8816.00,9240.00,8816.00,9240.00,22700,1698.98
2013-08-15,8624.00,8632.00,8464.00,8512.00,2200,1565.12
2013-08-14,8672.00,8672.00,8584.00,8624.00,2100,1585.71
2013-08-13,8472.00,8672.00,8472.00,8672.00,3800,1594.54
2013-08-12,8584.00,8584.00,8392.00,8472.00,2600,1557.76
2013-08-09,8464.00,8568.00,8432.00,8568.00,2600,1575.42
2013-08-08,8376.00,8448.00,8352.00,8448.00,1900,1553.35
2013-08-07,8384.00,8392.00,8280.00,8344.00,2500,1534.23
2013-08-06,8376.00,8424.00,8336.00,8384.00,1300,1541.58
2013-08-05,8424.00,8424.00,8384.00,8424.00,1500,1548.94
2013-08-02,8400.00,8424.00,8360.00,8424.00,2400,1548.94
2013-08-01,8328.00,8424.00,8328.00,8424.00,2500,1548.94
2013-07-31,8336.00,8368.00,8304.00,8304.00,1600,1526.87
2013-07-30,8352.00,8400.00,8336.00,8368.00,1200,1538.64
2013-07-29,8424.00,8424.00,8312.00,8328.00,3000,1531.29
2013-07-26,8408.00,8424.00,8328.00,8328.00,1300,1531.29
2013-07-25,8384.00,8464.00,8240.00,8464.00,4200,1556.29
2013-07-24,8328.00,8384.00,8296.00,8384.00,2200,1541.58
2013-07-23,8296.00,8344.00,8280.00,8344.00,2200,1534.23
2013-07-22,8256.00,8288.00,8232.00,8248.00,1300,1516.58
2013-07-19,8208.00,8280.00,8160.00,8280.00,2700,1522.46
2013-07-18,8144.00,8232.00,8112.00,8184.00,2200,1504.81
2013-07-17,8168.00,8184.00,8064.00,8144.00,1700,1497.45
2013-07-16,8256.00,8256.00,8144.00,8160.00,1500,1500.40
2013-07-15,8320.00,8384.00,8200.00,8232.00,1200,1513.63
2013-07-12,8408.00,8432.00,8304.00,8352.00,1700,1535.70
2013-07-11,8320.00,8424.00,8264.00,8408.00,5300,1546.00
2013-07-10,8112.00,8256.00,8024.00,8232.00,3900,1513.63
2013-07-09,8080.00,8152.00,8064.00,8072.00,2600,1484.21
2013-07-08,7964.00,8080.00,7964.00,8064.00,5700,1482.74
2013-07-05,7940.00,8024.00,7876.00,7880.00,2000,1448.91
2013-07-04,7920.00,8016.00,7908.00,7928.00,1200,1457.74
2013-07-03,8064.00,8064.00,7900.00,7912.00,2500,1454.80
2013-07-02,7920.00,8072.00,7904.00,8072.00,3700,1484.21
2013-07-01,7804.00,7904.00,7800.00,7904.00,1800,1453.32
2013-06-28,7732.00,7900.00,7712.00,7728.00,5600,1420.96
2013-06-27,7700.00,7764.00,7612.00,7696.00,2600,1415.08
2013-06-26,7696.00,7808.00,7664.00,7668.00,1400,1409.93
2013-06-25,7716.00,7840.00,7688.00,7688.00,2800,1413.61
2013-06-24,7868.00,7868.00,7700.00,7700.00,2600,1415.81
2013-06-21,7896.00,7960.00,7844.00,7844.00,1900,1442.29
2013-06-20,8000.00,8040.00,7912.00,7912.00,4700,1454.80
2013-06-19,7996.00,8096.00,7976.00,8088.00,4800,1487.16
2013-06-18,7800.00,8008.00,7792.00,8008.00,5900,1472.45
2013-06-17,7796.00,7800.00,7708.00,7776.00,1400,1429.79
2013-06-14,7836.00,7840.00,7708.00,7752.00,2100,1425.38
2013-06-13,7728.00,7780.00,7672.00,7744.00,5600,1423.90
2013-06-12,7864.00,7944.00,7792.00,7792.00,3300,1432.73
2013-06-11,7972.00,8016.00,7864.00,7864.00,1900,1445.97
2013-06-10,7808.00,8040.00,7808.00,8040.00,3800,1478.33
2013-06-07,7900.00,7928.00,7832.00,7840.00,2700,1441.56
2013-06-06,8040.00,8040.00,7852.00,7908.00,4300,1454.06
2013-06-05,8056.00,8056.00,8056.00,8056.00,000,1481.27
2013-06-04,7980.00,8064.00,7956.00,8056.00,2600,1481.27
2013-06-03,7900.00,7976.00,7820.00,7892.00,2800,1451.12
2013-05-31,7960.00,7996.00,7856.00,7888.00,4900,1450.38
2013-05-30,7976.00,8064.00,7924.00,7936.00,4100,1459.21
2013-05-29,8040.00,8096.00,8000.00,8048.00,2400,1479.80
2013-05-28,7980.00,8104.00,7952.00,8040.00,3800,1478.33
2013-05-27,7900.00,7952.00,7888.00,7952.00,2600,1462.15
2013-05-24,8016.00,8040.00,7860.00,7884.00,4100,1449.65
