STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
061800,99999, 19970308,   43.1,24,   36.6,24, 1032.2,24, 1031.6,24,   7.4,24,   9.7,24,  15.0,  22.0,   50.7 ,  32.0*, 0.00D,999.9, 000000,
061800,99999, 19970309,   38.2,24,   32.0,24, 1038.3,24, 1037.7,24,   8.5,24,   4.3,24,   8.0, 999.9,   52.0 ,  28.4*, 0.00D,999.9, 000000,
061800,99999, 19970310,   37.5,24,   34.1,24, 1034.7,24, 1034.1,24,   4.5,24,   5.5,24,  11.1, 999.9,   46.9 ,  27.1 , 0.00D,999.9, 100000,
061800,99999, 19970311,   37.1,24,   35.6,24, 1032.4,24, 1031.8,24,   1.3,24,   7.6,24,  12.0, 999.9,   43.7 ,  28.9 , 0.00D,999.9, 100000,
061800,99999, 19970312,   36.8,24,   35.5,24, 1030.1,24, 1029.5,24,   1.0,24,   7.7,24,  12.0, 999.9,   39.2*,  34.3 , 0.00D,999.9, 110000,
061800,99999, 19970313,   42.7,24,   39.5,24, 1016.5,24, 1015.9,24,   3.2,24,  10.7,24,  16.9, 999.9,   50.0*,  35.2 , 0.00F,999.9, 010000,
061800,99999, 19970314,   42.2,24,   40.2,24, 1011.0,24, 1010.4,24,   4.5,24,  10.9,24,  15.9, 999.9,   48.7 ,  35.6*, 0.04E,999.9, 010000,
061800,99999, 19970315,   37.9,23,   31.6,23, 1012.2,23, 1011.6,23,   7.3,23,   8.7,23,  15.0, 999.9,   41.5 ,  33.8*, 0.06F,999.9, 010000,
061800,99999, 19970316,   34.7,24,   18.6,24, 1020.5,24, 1019.9,24,  16.2,24,   6.7,24,  14.0, 999.9,   40.8 ,  28.9 , 0.00D,999.9, 000000,
061800,99999, 19970317,   33.3,23,   18.6,23, 1024.4,23, 1023.8,23,  13.6,23,   9.2,23,  19.0, 999.9,   40.6 ,  26.4 , 0.00D,999.9, 001000,
061800,99999, 19970318,   31.2,24,   16.8,24, 1019.1,24, 1018.4,24,  13.2,24,   9.3,24,  16.9,  27.0,   37.0 ,  19.9 , 0.00D,999.9, 001000,
061800,99999, 19970319,   32.1,24,   21.6,24, 1007.1,24, 1006.5,24,  10.5,24,  13.8,24,  22.9,  34.0,   35.6*,  25.9*, 0.00F,999.9, 001000,
061800,99999, 19970320,   30.3,24,   17.2,24, 1015.4,24, 1014.8,24,  12.6,24,   4.7,24,   8.9, 999.9,   40.1 ,  18.1 , 0.00D,999.9, 000000,
061800,99999, 19970321,   32.6,24,   23.1,24, 1018.2,24, 1017.6,24,  12.6,24,   6.0,24,  11.1, 999.9,   52.0 ,  18.1 , 0.00D,999.9, 000000,
061800,99999, 19970322,   31.8,24,   22.1,24, 1023.8,24, 1023.2,24,   9.8,24,   7.1,24,  15.0, 999.9,   41.2 ,  23.9 , 0.00E,999.9, 001000,
061800,99999, 19970323,   33.9,24,   28.0,24, 1020.3,24, 1019.7,24,   9.6,24,  12.3,24,  16.9, 999.9,   39.6 ,  24.8 , 0.00D,999.9, 000000,
061800,99999, 19970324,   33.7,24,   26.5,24, 1018.5,24, 1017.9,24,   9.5,24,  13.6,24,  15.9,  23.9,   38.1 ,  30.9 , 0.00D,999.9, 000000,
061800,99999, 19970325,   33.9,24,   25.1,24, 1021.4,24, 1020.8,24,   9.7,24,  12.5,24,  15.9,  21.0,   38.8 ,  30.2*, 0.00D,999.9, 000000,
061800,99999, 19970326,   39.4,24,   36.6,24, 1011.6,24, 1011.0,24,   3.7,24,  17.2,24,  25.1,  35.9,   44.6*,  32.4 , 0.00H,999.9, 010000,
061800,99999, 19970327,   44.2,24,   35.4,24, 1000.5,24,  999.9,24,   8.7,24,  21.7,24,  30.9,  42.0,   50.9 ,  39.2 , 0.08E,999.9, 000000,
061800,99999, 19970328,   41.6,24,   33.8,24,  993.6,24,  993.1,24,   9.3,24,  17.0,24,  27.0,  42.0,   47.1 ,  37.4 , 0.08E,999.9, 010000,
061800,99999, 19970329,   41.3,24,   27.4,24, 1006.5,24, 1006.0,24,  12.1,24,  14.9,24,  21.0,  35.9,   46.4*,  36.9 , 0.00D,999.9, 000000,
061800,99999, 19970330,   41.7,24,   37.3,24, 1016.2,24, 1015.6,24,   8.8,24,  13.3,24,  21.0,  30.9,   50.7 ,  31.5 , 0.00D,999.9, 010000,
061800,99999, 19970331,   47.6,24,   40.3,24, 1017.2,24, 1016.6,24,   8.8,24,  15.4,24,  20.0, 999.9,   57.2 ,  39.2*, 0.00D,999.9, 000000,
061800,99999, 19970401,   47.5,23,   39.6,23, 1015.4,23, 1014.8,23,   7.1,23,  14.9,23,  21.0, 999.9,   57.2*,  38.5 , 0.00D,999.9, 000000,
061800,99999, 19970402,   47.7,24,   38.7,24, 1015.0,24, 1014.4,24,   7.8,24,  11.8,24,  15.0,  25.1,   57.2*,  39.0 , 0.00D,999.9, 000000,
061800,99999, 19970403,   42.4,24,   38.3,24,  999.9,24,  999.3,24,   6.8,24,  17.1,24,  22.0,  33.0,   48.6 ,  37.4 , 0.00E,999.9, 011000,
061800,99999, 19970404,   39.9,23,   27.0,23, 1006.5,23, 1005.9,23,  11.8,23,  14.3,23,  19.0,  28.9,   47.5 ,  30.2*, 0.00E,999.9, 000000,
061800,99999, 19970405,   34.1,24,   30.0,24, 1005.2,24, 1004.6,24,   8.7,24,  10.6,24,  16.9, 999.9,   39.9 ,  28.8 , 0.00C,999.9, 001000,
061800,99999, 19970406,   35.2,24,   22.7,24, 1018.7,24, 1018.1,24,  13.8,24,  11.9,24,  19.0,  25.1,   42.8 ,  24.8*, 0.00F,  0.4, 011000,
061800,99999, 19970407,   36.9,24,   28.6,24, 1033.1,24, 1032.5,24,  13.5,24,   6.8,24,  11.1, 999.9,   45.3 ,  27.3 , 0.00E,999.9, 000000,
061800,99999, 19970408,   39.2,24,   34.3,24, 1031.3,24, 1030.7,24,   8.9,24,   6.9,24,  11.1, 999.9,   42.3 ,  32.2 , 0.00E,999.9, 010000,
061800,99999, 19970409,   45.9,24,   35.9,24, 1025.7,24, 1025.1,24,   5.8,24,  10.0,24,  15.9, 999.9,   55.4*,  35.8 , 0.00F,999.9, 010000,
061800,99999, 19970410,   44.9,24,   39.9,24, 1017.9,24, 1017.3,24,   9.0,24,  20.1,24,  28.0,  46.0,   51.6 ,  39.2*, 0.00E,999.9, 010000,
061800,99999, 19970411,   42.2,24,   29.8,24, 1004.4,24, 1003.8,24,   9.3,24,  23.5,24,  34.0,  52.1,   46.4*,  33.1 , 0.00F,999.9, 011000,
061800,99999, 19970412,   39.0,24,   23.7,24, 1019.4,24, 1018.8,24,  14.3,24,  13.6,24,  19.0, 999.9,   43.5 ,  32.0*, 0.00D,999.9, 000000,
061800,99999, 19970413,   39.0,24,   35.8,24, 1017.7,24, 1017.1,24,   9.8,24,  11.3,24,  16.9, 999.9,   44.2 ,  27.0 , 0.00E,999.9, 010000,
061800,99999, 19970414,   45.2,24,   30.8,24, 1007.9,24, 1007.3,24,   9.9,24,  15.5,24,  21.0,  35.0,   53.2 ,  39.2*, 0.00D,999.9, 000000,
061800,99999, 19970415,   40.1,24,   22.3,24, 1017.4,24, 1016.8,24,  11.9,24,  20.3,24,  26.0,  37.9,   45.5 ,  33.8*, 0.00E,999.9, 011000,
061800,99999, 19970416,   41.8,24,   23.5,24, 1024.4,24, 1023.8,24,  12.9,24,   9.1,24,  13.0, 999.9,   50.7 ,  28.9 , 0.00D,999.9, 000000,
061800,99999, 19970417,   44.9,24,   29.1,24, 1021.7,24, 1021.1,24,  12.9,24,   9.0,24,  13.0, 999.9,   54.0 ,  33.4 , 0.00D,999.9, 000000,
061800,99999, 19970418,   40.5,24,   35.8,24, 1013.3,24, 1012.7,24,   8.7,24,   9.3,24,  19.0, 999.9,   48.9 ,  28.4*, 0.00E,999.9, 110000,
061800,99999, 19970419,   37.0,24,   24.1,24, 1014.1,24, 1013.5,24,  11.7,24,   9.5,24,  15.0, 999.9,   43.2 ,  27.5 , 0.02E,999.9, 100000,
061800,99999, 19970420,   37.2,24,   24.7,24, 1017.9,24, 1017.3,24,  15.8,24,   5.4,24,   8.0, 999.9,   46.4 ,  25.9 , 0.00E,999.9, 011000,
061800,99999, 19970421,   38.2,24,   32.6,24, 1011.1,24, 1010.5,24,  10.4,24,  13.7,24,  20.0, 999.9,   45.7 ,  29.5 , 0.00E,999.9, 010000,
061800,99999, 19970422,   39.5,24,   24.8,24, 1007.8,24, 1007.2,24,  10.3,24,  14.7,24,  20.0,  29.9,   46.2 ,  35.6 , 0.00E,999.9, 000000,
061800,99999, 19970423,   39.3,24,   32.9,24, 1013.4,24, 1012.8,24,   8.8,24,  13.0,24,  16.9,  28.0,   44.8 ,  29.3 , 0.00E,999.9, 010000,
061800,99999, 19970424,   43.6,24,   40.8,24, 1006.0,24, 1005.4,24,   5.0,24,  17.7,24,  26.0,  36.9,   46.4*,  40.3 , 0.08E,999.9, 110000,
061800,99999, 19970425,   42.4,24,   33.6,24, 1012.9,24, 1012.3,24,  10.7,24,   6.8,24,  11.1, 999.9,   51.8*,  33.8*, 0.01E,999.9, 010000,
